,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
547,Available in consultation,275000,4231,,Resale,B  ,7,TV via cable,,District heating,District heating,Double glazing,,6 ,65,,,3  ,1,,With carpets and curtains,Under offer,,,214,1960,https://www.funda.nl/en/koop/amsterdam/appartement-88048163-osdorper-ban-203,,Yes,,Yes,,7,5 ,Yes,Yes ,,Yes,Yes,Storage box,Galleried apartment (apartment), 180.00  ,,,,,,,,,,amst,2 ,, 180.00 
548,Available in consultation,385000,7549,Shower and toilet,Resale,A   ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,4 ,51,Alongside a quiet road and in residential district,1 ,2  ,1,,,Sold under reservation,Paid parking and resident's parking permits,Gable  covered with  tiles,145,1919,https://www.funda.nl/en/koop/amsterdam/appartement-42583787-putterstraat-7,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",5,Grou ,Yes,Yes ,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 70.91  ,Energie Prestatie Advies,,,,, northwest ,,40  ,,amst,1 ,, 70.91 
549,Available in consultation,350000,8974,Bath and toilet,Resale,C  ,7,"Skylight, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing and insulated walls,,0,39,"Alongside a quiet road, on navigable waterway, alongside water, sheltered location, in center and unobstructed surrounding view",1 ,2  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Combination  covered with  tiles,140,1886,https://www.funda.nl/en/koop/amsterdam/appartement-42627724-plantage-muidergracht-145-4,,Yes,Roof terrace ,Yes,"Remeha (gas-fired combination boiler from 2019, in ownership)",,4 ,No,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 102.60  ,, 103  ,,,,,,,,amst,1 ,, 102.60 
550,Available in consultation,798000,4866,2 baths and shower,Resale,A  ,13,Mechanical ventilation,,CH boiler and heat recovery unit,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,5 ,164,In residential district and unobstructed surrounding view,2  ,4  ,2,,,Available,Public parking,Flat ,544,1993,https://www.funda.nl/en/koop/amsterdam/appartement-42443922-sint-gilleshof-38,Disabled access friendly,Yes,Balcony ,Yes,"Atag ( combination boiler from 2016, in ownership)",7,,Yes,Yes ,,Yes,Yes,Attached brick storage,Maisonnette (apartment), 372.49  ,,,,,,,,,,amst,3 , 2 , 372.49 
551,Available in consultation,500000,3731,"Bath, shower and toilet",Resale,B  ,,TV via cable,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",0,134,"Alongside water, in residential district and unobstructed surrounding view",1  ,4  ,3,88,,Available,Public parking,Flat ,451,1991,https://www.funda.nl/en/koop/amsterdam/huis-42637888-bultrugpad-5,,,,,"Intergas (gas-fired combination boiler, in ownership)",,,,,,,,Attached wooden storage,,,,,,,3 , southwest,,36  ,,amst,3 , 2 ,
552,Available in consultation,335000,4855,Bath,Resale,A  ,5,Electricity,,CH boiler,CH boiler,No insulation,,7 ,69,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,3  ,1,,,Sold under reservation,,,229,2007,https://www.funda.nl/en/koop/amsterdam/appartement-88049215-professor-jh-gunningstraat-31-pp,Disabled access friendly and accessible for seniors,Yes,Balcony ,Yes,"Remeha (gas-fired combination boiler from 2007, in ownership)",5,3 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 185.00  ,,,,Parking place,,,,,,amst,2 , 1 , 185.00 
553,Available in consultation,425000,7203,Shower and toilet,Resale,F  ,,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Partly double glazed,,2 ,59,"Alongside a quiet road, in center and in residential district",1 ,4  ,2,,,Available,Paid parking and resident's parking permits,Combination ,196,1882,https://www.funda.nl/en/koop/amsterdam/appartement-42613623-lijndenstraat-26-d,,Yes,,Yes,"Gas-fired combination boiler, in ownership",,4 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 70.00  ,,,,,,,,,,amst,2 ,, 70.00 
554,Available in consultation,475000,9314,Shower,Resale,A  ,3,Electricity,,CH boiler,CH boiler,,,5 ,51,,1  ,2  ,2,,,Under offer,,Gable ,138,1878,https://www.funda.nl/en/koop/amsterdam/appartement-42692636-frans-halsstraat-80-e,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler, in ownership)",3,3 ,Yes,Yes ,,Yes,Yes,Built-in,Maisonnette (double upstairs apartment), 127.05  ,,,,,,,,,,amst,1 , 1 , 127.05 
555,Available in consultation,650000,7386,,Resale,D  ,,"Electricity, heating and running water",Back garden,CH boiler,CH boiler,"Roof insulation, double glazing, eco-building, partly double glazed, no cavity wall, insulated walls, floor insulation, completely insulated and secondary glazing",,0,88,Alongside water and unobstructed surrounding view,,4  ,1,,,Available,,,216,,https://www.funda.nl/en/koop/amsterdam/appartement-42636406-fahrenheitsingel-36,,Yes,,Yes,"Gas-fired, in ownership",,Grou ,Yes,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 43.00  ,,,,,, south,,70  ,1931-1944,amst,3 ,, 43.00 
556,Available in consultation,1250000,10246,Toilet,Resale,F  ,,"Electricity, heating and running water","Back garden, front garden and side garden",CH boiler,CH boiler,Completely insulated,"Single-family home, detached residential property (dyke house)",0,122,,1  ,5  ,3,205,Protected townscape or village view (permit needed for alterations),Available,Paid parking and public parking,Combination  covered with asphalt ing and  tiles,455,1953,https://www.funda.nl/en/koop/amsterdam/huis-42623355-nieuwendammerdijk-162,,,,,"Intergas (gas-fired combination boiler from 2021, in ownership)",27,,,,,,,Detached brick storage,,,,,,Parking place,, south ,,80  ,,amst,2 , 1 ,
558,Available in consultation,950000,6884,Bath and 2 showers,Resale,D  ,40,,,CH boiler,CH boiler,,,0,138,In center and in residential district,2  ,6  ,3,,,Available,Resident's parking permits,,467,1914,https://www.funda.nl/en/koop/amsterdam/appartement-42629437-busken-huetstraat-10,,Yes,Roof terrace  and balcony ,Yes,"Gas-fired, in ownership",,,No,Yes ,,Yes,Yes,,Upstairs apartment (double upstairs apartment), 244.00  ,,,,,,,,,,amst,5 , 1 , 244.00 
559,Available in consultation,650000,5372,"Bath, shower and toilet",Resale,A  ,,Mechanical ventilation and sliding door,Back garden,District heating,Central facility,Double glazing and completely insulated,"Single-family home, row house",5 ,121,Alongside a quiet road and in residential district,1  ,5  ,3,,,Sold under reservation,Parking garage,,323,2007,https://www.funda.nl/en/koop/amsterdam/huis-42699192-nicolaas-hennemanhof-8-pp,,,French balcony ,,,11,,,,,,,Storage box,,,, 45  ,,Parking place,, southwest,,27  ,,amst,4 , 1 ,
560,Available in consultation,395000,7900,,Resale,D  ,,TV via cable,,CH boiler,CH boiler,Partly double glazed,,0,50,In center,1  ,3  ,2,,,Available,Paid parking and resident's parking permits,,166,1910,https://www.funda.nl/en/koop/amsterdam/appartement-88093260-van-hallstraat-47-3,,No,Balcony  and french balcony ,No,"Intergas kompasrichting hre (gas-fired combination boiler from 2016, in ownership)",,3 ,No,No,,No,No,,Upstairs apartment (apartment), 75.00  ,, 75  ,,,,,,,,amst,2 , 1 ,
561,Available in consultation,575000,5750,Hipbath and shower,Resale,A  ,11,"Outdoor awning, elevator, mechanical ventilation and TV via cable",,District heating,Central facility,Completely insulated,,2 ,100,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",1  ,4  ,1,,,Available,Parking garage,Flat ,325,2005,https://www.funda.nl/en/koop/amsterdam/appartement-42613509-erich-salomonstraat-370,,Yes,Balcony ,Yes,,,6 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 169  ,,Underground parking and parking place,,,,,,amst,3 , 1 ,
562,Available in consultation,700000,6796,Bath,Resale,E  ,12,Electricity,Back garden,CH boiler,CH boiler,Mostly double glazed,,0,103,Alongside a quiet road and in residential district,1  ,4  ,1,,,Available,Paid parking and resident's parking permits,Combination  covered with asphalt ing and  tiles,355,1933,https://www.funda.nl/en/koop/amsterdam/appartement-42628712-hembrugstraat-19,,Yes,,Yes,"Gas-fired combination boiler from 2018, in ownership",5,Grou ,Yes,Yes,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment),,, 158  ,,,, southwest,,"0,04 meter deep and 0,05 meter broad",,amst,3 , 1 ,
563,Available in consultation,1500000,8287,"Hipbath, shower and 2 toilets",Resale,A  ,17,Electricity,Surrounded by garden,"District heating, complete floor heating and heat recovery unit",District heating,Double glazing,"Villa, detached residential property",0,181,"Alongside a quiet road, sheltered location and in residential district",2  ,6  ,3,329,,Available,Paid parking and public parking,,662,2011,https://www.funda.nl/en/koop/amsterdam/huis-42613232-zwenkgrasstraat-5,,,Roof terrace  and balcony ,,,,,,,,,,Built-in,,,,,,Carport,,,,,,amst,4 , 1 ,
564,Available in consultation,425000,5903,Shower,Resale,C  ,12,Outdoor awning and solar panels,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, corner house",3 ,72,Alongside a quiet road and in residential district,1  ,4  ,2,78,,Available,Paid parking and resident's parking permits,Flat ,276,1954,https://www.funda.nl/en/koop/amsterdam/huis-42604045-joop-eijlstraat-1,,,Balcony ,,"Gas-fired combination boiler from 2015, in ownership",6,,,,,,,Attached brick storage,,,,,,,5 ,,,,,amst,3 , 1 ,
565,Available in consultation,575000,7278,Shower,Resale,C  ,4,Electricity,,Communal central heating,Gas water heater,No insulation,,5 ,79,"Alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",1  ,3  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Flat ,265,,https://www.funda.nl/en/koop/amsterdam/appartement-42690950-baarsjesweg-155-iii,,Yes,Balcony ,Yes,,6,3 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 126.83  ,,,,,4 ,,,,1960-1970,amst,2 , 1 , 126.83 
566,Available in consultation,485000,6736,Toilet,Resale,D  ,5,,,CH boiler,CH boiler,,,0,72,,1 ,4  ,2,,,Available,,,232,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42637501-president-kennedylaan-122-3,,Yes,Balcony ,Yes,Intergas (2012),,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 75.00  ,,,,,1 ,,,,,amst,2 ,, 75.00 
567,Available in consultation,260000,10000,Shower and toilet,Resale,A  ,,,,CH boiler,CH boiler,Double glazing,,3 ,26,Alongside a quiet road and in residential district,1 ,1  ,1,,,Sold under reservation,,,64,1893,https://www.funda.nl/en/koop/amsterdam/appartement-42537551-van-oldenbarneveldtstraat-87-b-ii,,Yes,,Yes,"Gas-fired combination boiler, in ownership",,2 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 80.22  ,, 80  ,,,,,,,,amst,1 ,, 80.22 
568,Available in consultation,420000,7000,Shower and toilet,Resale,D   ,,TV via cable,Back garden,CH boiler,CH boiler,Double glazing,,4 ,60,Alongside a quiet road and unobstructed surrounding view,1  ,3  ,1,,,Under offer,Paid parking and resident's parking permits,Flat  covered with asphalt ing,174,1950,https://www.funda.nl/en/koop/amsterdam/appartement-42600569-hertspieghelweg-10-h,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2016, in ownership)",4,Grou ,Yes,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 113.18  ,Energie Prestatie Advies,,,,, northeast,,81  ,,amst,2 , 1 , 113.18 
569,Available in consultation,450000,5696,Toilet,Resale,A  ,12,Elevator and mechanical ventilation,,CH boiler,CH boiler,Completely insulated,,0,79,"In residential district, freestanding location and unobstructed surrounding view",1  ,3  ,1,,,Available,Public parking,Flat ,261,2006,https://www.funda.nl/en/koop/amsterdam/appartement-42629744-osdorper-ban-774,,Yes,Balcony ,Yes,Intergas (2019),4,14 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 145.00  ,,,,Underground parking and parking place,,,,,,amst,2 , 1 , 145.00 
570,Available in consultation,875000,7114,Bath and toilet,Resale,F  ,4,,,CH boiler,CH boiler,,,4 ,123,In residential district,1  ,4  ,2,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat ,390,1904,https://www.funda.nl/en/koop/amsterdam/appartement-42607019-hasebroekstraat-41-iii,,Yes,"Roof terrace , balcony  and french balcony ",Yes,Remeha (gas-fired combination boiler from 2011),,3 ,Yes,Yes ,,No,Yes,Built-in,Upstairs apartment (apartment), 300.00  ,, 300  ,,,1 ,,,,,amst,3 , 1 , 300.00 
572,Available in consultation,300000,3896,Shower,Resale,C  ,4,Elevator,,Gas heater,Gas water heater,Double glazing,,3 ,77,In center,1  ,4  ,1,,,Sold under reservation,Paid parking and public parking,,252,1956,https://www.funda.nl/en/koop/amsterdam/appartement-42601445-slotermeerlaan-29,,Yes,Balcony ,Yes,,8,2 ,Yes,Yes ,,Yes,Yes,Built-in,Mezzanine (apartment), 251.25  ,,,,,,,,,,amst,3 , 1 , 251.25 
573,Available in consultation,675000,7258,Bath and shower,Resale,,2,Skylight and elevator,,CH boiler,CH boiler,Mostly double glazed,,3 ,93,In center,1  ,3  ,1,,,Sold under reservation,,,294,1914,https://www.funda.nl/en/koop/amsterdam/appartement-42535757-watersteeg-2-c,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2012, in ownership)",,3 ,Yes,Yes ,G ,Yes,Yes,,Upstairs apartment (apartment), 325.53  ,,,,,,,,,,amst,2 , 1 , 325.53 
575,Available in consultation,620000,7209,,Resale,A  ,14,Electricity,,CH boiler,CH boiler,"Roof insulation, triple glazed, double glazing, eco-building, no cavity wall, mostly double glazed, energy efficient window, draft protection, insulated walls, floor insulation, completely insulated and secondary glazing",,8 ,86,"On the edge of a forest, alongside park, alongside a quiet road, on navigable waterway, alongside water, In wooded surroundings, in residential district, freestanding location and unobstructed surrounding view",1 ,3  ,1,,,Sold under reservation,Paid parking and public parking,Flat  covered with asphalt ing,256,2000,https://www.funda.nl/en/koop/amsterdam/appartement-42670996-schokkerspad-42-pp,,Yes,Roof terrace ,Yes,"HR 107 (gas-fired combination boiler from 2015, in ownership)",6,4 ,Yes,Yes ,,Yes,Yes,Built-in,Upstairs apartment, 284.00  ,,,,Parking place,,,,,,amst,2 ,, 284.00 
576,Available in consultation,1050000,8333,2 showers and 2 toilets,Resale,B  ,6,,Back garden,CH boiler,CH boiler,Double glazing and insulated walls,,4 ,126,Alongside a quiet road and in residential district,2 ,5  ,2,,,Sold under reservation,Paid parking,Combination  covered with asphalt ing and  tiles,478,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42694249-woubruggestraat-17-h-i,,Yes,Balcony ,Yes,"Avanta (gas-fired combination boiler, in ownership)",5,Grou ,Yes,Yes,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment),,, 200  ,,,1 , east,,35  ,,amst,4 ,,
577,Available in consultation,645000,5000,Steam cabin and toilet,Resale,B  ,,Electricity and heating,Back garden and front garden,CH boiler and partial floor heating,CH boiler,Completely insulated,"Single-family home, row house",2 ,129,,1  ,4  ,3,158,,Sold under reservation,Public parking,Gable  covered with  tiles,461,1988,https://www.funda.nl/en/koop/amsterdam/huis-42664774-jh-van-heekweg-40,,,,,"Bosch ( combination boiler from 2008, in ownership)",7,,,,,,,Attached brick storage,,,,,,,, southeast,,88  ,,amst,3 , 1 ,
578,Available in consultation,421058,6015,Shower,New,,,Electricity and running water,Sun terrace,Complete floor heating and heat pump,District heating,Completely insulated,,4 ,70,"Alongside busy road, alongside park and in center",1  ,3  ,1,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,197,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42599924-appartement-l-bouwnr-18,,,Balcony ,,,,2 ,,,A ,,,Built-in,Upstairs apartment (apartment),,Woningborg garantiecertificaat,,"5 m² (1,77 meter deep and 2,9 meter broad)",,, south,,,,amst,2 , 1 ,
581,Available in consultation,525000,6402,Bath and shower,Resale,C  ,4,,,CH boiler,CH boiler,"Double glazing, energy efficient window and completely insulated",,2 ,82,In center and unobstructed surrounding view,1  ,4  ,1,,,Sold under reservation,Paid parking and resident's parking permits,Flat  covered with asphalt ing,261,1981,https://www.funda.nl/en/koop/amsterdam/appartement-42679480-nobelweg-21-b,,Yes,Balcony ,Yes,Intergas HRe (gas-fired combination boiler from 2015),7,1 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 118.76  ,,,,,,,,,,amst,3 , 1 , 118.76 
582,Available in consultation,395000,4341,Shower,Resale,A  ,10,Electricity,,CH boiler,CH boiler,Completely insulated,,3 ,91,In residential district,1 ,3  ,1,,,Sold under reservation,,Flat  covered with asphalt ing,290,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42539794-baden-powellweg-54-g,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",17,4 ,Yes,Yes,,Yes,Yes,Storage box,Mezzanine (apartment),,, 159  ,,Underground parking and parking place,,,,,,amst,2 ,,
583,Available in consultation,900000,8108,Bath and shower,Resale,,,,,,CH boiler,,,3 ,111,,2 ,2  ,1,,,Available,,,500,1880,https://www.funda.nl/en/koop/amsterdam/appartement-42541190-keizersgracht-131-e,,Yes,,Yes,,,3 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 365  ,,,,,,,,amst,1 ,,
585,Available in consultation,575000,7099,,Resale,D  ,10,Electricity,,Communal central heating,Central facility,Double glazing,,2 ,81,Alongside a quiet road and in residential district,,3  ,3,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,223,1968,https://www.funda.nl/en/koop/amsterdam/appartement-42670868-gijsbrecht-van-ijselsteinstraat-97,,Yes,,Yes,,9,1 ,Yes,Yes,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment),,,,,,,,,,,amst,2 ,,
586,Available in consultation,395000,4247,Toilet,Resale,C  ,,Electricity,Back garden and front garden,CH boiler and partial floor heating,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, row house",4 ,93,"Alongside park, in residential district and unobstructed surrounding view",1  ,4  ,2,157,,Sold under reservation,Public parking,Flat  covered with asphalt ing,297,1974,https://www.funda.nl/en/koop/amsterdam/huis-42574202-kantershof-237,,,,,"Remeha Avanta 28C (gas-fired combination boiler from 2012, in ownership)",9,,,,,,,Detached brick storage,,,, 11  ,,Carport and parking place,, southwest,,48  ,,amst,3 , 1 ,
587,Available in consultation,349500,6132,Shower and toilet,Resale,C  ,8,Solar panels,,CH boiler,CH boiler,Double glazing,,0,57,"Alongside a quiet road, on navigable waterway and in residential district",1 ,3  ,1,,With carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",,176,1940,https://www.funda.nl/en/koop/amsterdam/appartement-88078724-esmoreitstraat-7-1,,Yes,Balcony ,Yes,Vaillant VHR (gas-fired combination boiler from 2007),7,2 ,Yes,Yes ,,Yes,Yes,,Mezzanine (apartment with open entrance to street), 106.00  ,Energie Prestatie Advies,,,,,,,,,amst,2 ,, 106.00 
588,Available in consultation,285000,6628,Shower and toilet,Resale,C  ,7,Electricity,,CH boiler,CH boiler,Double glazing,,0,43,In residential district and unobstructed surrounding view,1 ,2  ,1,,Partly furnished with carpets and curtains,Available,Public parking,Flat  covered with asphalt ing,139,1988,https://www.funda.nl/en/koop/amsterdam/appartement-42639709-nieuwe-purmerweg-134,,Yes,Roof terrace ,Yes,"Intergas (gas-fired combination boiler from 2013, in ownership)",3,4 ,Yes,Yes,,Yes,Yes,Storage box,Residential property with shared street entrance (apartment),,Energie Prestatie Advies, 56  ,,,,,,,,amst,1 ,,
589,Available in consultation,2500000,7508,"Sauna, bath, 2 showers and toilet",Resale,,45,Sauna,Patio/atrium and sun terrace,CH boiler,CH boiler,,"Property alongside canal, row house",6+ ,333,"On navigable waterway, alongside water and in center",2  ,10  ,5,121,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Available,Paid parking and public parking,Flat ,1170,1906,https://www.funda.nl/en/koop/amsterdam/huis-41361927-reguliersgracht-20,,,Roof terrace ,,"Gas-fired combination boiler, in ownership",,,,,,,,,,,,,"30 m² (4 meter deep and 7,5 meter broad)",,9 , south,,,,amst,5 , 2 ,
590,Available in consultation,1200000,8571,Bath,Resale,F  ,8,Passive ventilation system and TV via cable,,CH boiler,CH boiler,Floor insulation,,3 ,140,"Alongside a quiet road, in center and in residential district",1  ,6  ,2,,With carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and  tiles,467,1928,https://www.funda.nl/en/koop/amsterdam/appartement-42548715-gerrit-van-der-veenstraat-54-2,,No,Balcony ,No,"Gas-fired combination boiler, in ownership",,2 ,No,Yes ,,Yes,Yes,,Upstairs apartment (double upstairs apartment), 122.38  ,,,,,,,,,,amst,4 , 2 , 122.38 
591,Available in consultation,650000,6075,Toilet,Resale,A  ,22,Electricity,,CH boiler,CH boiler,"Roof insulation, triple glazed, double glazing and floor insulation",,3 ,107,Alongside a quiet road and in residential district,1  ,3  ,2,,,Under offer,Parking garage,Flat  covered with asphalt ing,338,2000,https://www.funda.nl/en/koop/amsterdam/appartement-42615473-van-heenvlietlaan-271,,Yes,Balcony ,Yes,"Remeha Avanta (gas-fired combination boiler from 2020, in ownership)",4,2 ,Yes,Yes,,Yes,Yes,Storage box,Maisonnette (apartment),,, 269  ,,Underground parking,,,,,,amst,2 , 1 ,
592,Available in consultation,285000,6196,Toilet,Resale,A  ,16,"Optical fibre, elevator and mechanical ventilation",Back garden,District heating,Central facility,Completely insulated,,0,46,,1 ,1  ,1,,,Available,Paid parking,Flat ,238,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42620639-johan-van-der-keukenstraat-71-l,,Yes,,Yes,,,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment, 70.05  ,,,,,,,,,,amst,1 ,, 70.05 
593,Available in consultation,290000,3867,Bath,Resale,B  ,9,Electricity,,CH boiler,CH boiler,Double glazing,,4 ,75,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,3  ,4,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,210,1985,https://www.funda.nl/en/koop/amsterdam/appartement-42608208-scherpenzeelstraat-169,,Yes,Balcony ,Yes,"INtergas HR (gas-fired combination boiler from 2010, in ownership)",5,4 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 120.00  ,,,,,,,,,,amst,2 , 1 , 120.00 
594,Available in consultation,4995000,12678,"Bath, shower and toilet",Resale,,8,"Smart home, elevator and mechanical ventilation",Back garden,CH boiler,CH boiler,,"Property alongside canal, row house",7 ,394,"Alongside a quiet road, alongside water, in center and unobstructed surrounding view",3  ,10  ,5,254,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Combination  covered with  tiles,1375,1675,https://www.funda.nl/en/koop/amsterdam/huis-42674126-keizersgracht-544,,,,,"Gas-fired, in ownership",,,,,,,,,,,,,,,6 , southwest,,133  ,,amst,4 , 2 ,
595,Available in consultation,295000,9833,,Resale,,,"Elevator, mechanical ventilation and TV via cable",,Communal central heating,Central facility,,,0,30,"Alongside water, in residential district and unobstructed surrounding view",,2  ,1,,,Available,Paid parking,Flat  covered with asphalt ing,106,1942,https://www.funda.nl/en/koop/amsterdam/appartement-42625103-korte-geuzenstraat-603,,Yes,,Yes,,,6 ,Yes,Yes ,G ,Yes,Yes,,Galleried apartment (apartment), 139.56  ,,,,,,,,,,amst,1 ,, 139.56 
596,Available in consultation,875000,5147,"Bath, shower and 2 toilets",Resale,C  ,6,"Air conditioning, outdoor awning, mechanical ventilation and TV via cable",Back garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",0,170,"Alongside a quiet road, in residential district and unobstructed surrounding view",2  ,4  ,3,108,,Available,,Flat  covered with asphalt ing,570,1960,https://www.funda.nl/en/koop/amsterdam/huis-42639989-van-boshuizenstraat-537,,,Balcony ,,"Gas-fired combination boiler, in ownership",5,,,,,,,Detached wooden storage,,,,,,Not yet present but possible,, south ,,40  ,,amst,3 , 3 ,
597,Available in consultation,825000,4583,Toilet,Resale,A  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",0,180,Alongside a quiet road and in residential district,1  ,6  ,4,137,Partly furnished with carpets and curtains,Available,Parking on private property,Gable ,626,2009,https://www.funda.nl/en/koop/amsterdam/huis-42628093-h-stolleplantsoen-4,,,,,"Intergas (gas-fired from 2011, in ownership)",5,,,,,,,Detached wooden storage,,,,,,,, southwest,,40  ,,amst,4 , 1 ,
598,Available in consultation,340000,4416,Shower,Resale,A  ,5,Elevator and passive ventilation system,,Communal central heating,Gas water heater,Double glazing,,2 ,77,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,4  ,1,,,Available,Paid parking and resident's parking permits,Flat  covered with asphalt ing,246,,https://www.funda.nl/en/koop/amsterdam/appartement-42611902-s-f-van-ossstraat-88,,Yes,Balcony ,Yes,,6,2 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,,,,,,,,,1960-1970,amst,2 , 1 ,
599,Available in consultation,985000,7036,Bath,Resale,B  ,,,Back garden,,CH boiler,Double glazing,,6+ ,140,"Alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",1  ,4  ,2,,,Sold under reservation,Paid parking and resident's parking permits,,443,,https://www.funda.nl/en/koop/amsterdam/appartement-42428669-admiralengracht-279-h,,Yes,,Yes,,,1 ,Yes,Yes ,,Yes,Yes,,Double ground-floor apartment (apartment), 70.00  ,,,,,, west,,54  ,1906-1930,amst,3 , 2 , 70.00 
600,Available immediately,750000,10000,Toilet,Resale,,,,,CH boiler and electric heating,CH boiler,,,4 ,75,Alongside water and in center,1  ,2  ,2,,Listed building (national monument),Under offer,Public parking and resident's parking permits,,197,1631,https://www.funda.nl/en/koop/amsterdam/appartement-42581266-brouwersgracht-77,,Yes,,Yes,"Electrical combination boiler from 2021, in ownership",,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 86.00  ,, 86  ,,,5 ,,,,,amst,1 , 1 , 86.00 
601,,505000,6235,Shower,New,A+++  ,6,,,District heating,,Completely insulated,,0,81,In center and in residential district,1  ,3  ,12,,,Under option,Parking garage,,243,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42625901-nieuwe-osdorpergracht-480-e,,No,Balcony ,No,,,10 ,No,No,,No,No,,Upstairs apartment (apartment),,Woningborg garantiecertificaat, 122  ,,Underground parking,,,,,,amst,2 , 1 ,
602,Available in consultation,1100000,8594,Shower and toilet,Resale,C  ,33,Electricity,Back garden,CH boiler,CH boiler,Completely insulated,,0,128,,1  ,6  ,2,,,Available,Paid parking,Flat  covered with asphalt ing,312,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42636975-wijttenbachstraat-55-a,,Yes,,Yes,"HR (gas-fired combination boiler from 2015, in ownership)",,Grou ,Yes,Yes ,,Yes,Yes,Built-in,Ground-floor apartment (apartment with open entrance to street), 172.11  ,,,,,, north,,33  ,,amst,5 , 1 , 172.11 
